Article ,,Sensing,,,Reaction,Processing,,Gestures,,,,
Gupta2016continuous,2016,6-axis IMU ,-,-,HCI,"Gesture
Recognition",No,6,discrete,dynamic,hand,No
Gupta2016towards,2016,RGB-D Camera,"Stereo
Infrared Camera",-,-,"Gesture
Classification",Nio,25,discrete,dynamic,"hand
fingers",No
Lai2016,2016,RGB-D Camera,-,-,HRI,"Gesture
Recognition",No,1,discrete,static,(Bi) arm,Yes
,,,,,,"Feature
Extraction",No,-,continuous,dynamic,arm,No
Molchanov2016,2016,RGB-D Camera,"Stereo
Infrared Camera",-,HCI,"Gesture
Recognition",Nio,25,discrete,dynamic,"hand
fingers",No
Haria2017,2017,RGB Camera,-,-,HCI,"Gesture
Recognition",No,6,discrete,static,fingers,No
,,,,,,"Gesture
Recognition",No,1,discrete,dynamic,hand,No
Coronado2017,2017,Accelerometer,-,-,HRI,"Feature
Extraction",No,1,continuous,dynamic,arm,No
Shin2017,2017,"Epidermal 
Tactile Sensor",-,-,-,"Gesture
Classification",No,5,discrete,static,"hand
fingers",No
Mendes2017,2017,Infrared Camera,-,-,HRI,"Gesture
Recognition",No,12,discrete,static,"hand
fingers",No
,,,,,,"Gesture
Recognition",No,10,discrete,dynamic,hand,No
Naguri2017,2017,Infrared Camera,-,-,-,"Gesture
Recognition",No,6,discrete,dynamic,"hand
fingers",No
Oyedotun2017,2017,RGB Camera,-,-,-,"Gesture
Classification",No,24,discrete,static,"hand
fingers",No
Bao2017,2017,RGB Camera,-,-,-,"Gesture
Classification",No,7,discrete,static,figners,No
Kim2018,2018,6-axis IMU ,-,-,-,"Gesture
Recognition",No,9,discrete,dynamic,arm,No
Bolano2018,2018,RGB-D Camera,-,-,HRI,"Feature 
Extraction",No,-,continuous,dynamic,hand,Yes
Buddhikot2018,2018,RGB Camera,-,-,HCI,"Gesture
Recognition",No,6,discrete,dynamic,"hand
fingers",No
Zeng2018,2018,Infrared Camera,-,-,-,"Gesture
Classification",No,10,discrete,dynamic,fingers,No
,,,,,,"Gesture
Classification",No,26,discrete,dynamic,fingers,No
Hu2018,2018,RGB Camera,-,-,-,"Gesture
Recognition",No,5,discrete,dynamic,"arm
fingers",No
Ma2018,2018,RGB-D Camera,-,-,-,"Gesture
Recognition",No,8,discrete,dynamic,"(Bi) hand
arm",No
Kim2019,2019,Accelerometer,Button,-,-,"Gesture
Recognition",No,10,discrete,dynamic,hand,No
Islam2019,2019,RGB Camera,-,-,HRI,"Gesture
Recognition",No,8,discrete,static,fingers,No
Huang2019,2019,RGB-D Camera,-,-,-,"Gesture
Recognition",No,10,discrete,dynamic,"fingers
 arm",No
,,,,,-,"Gesture
Recognition",No,10,discrete,dynamic,"fingers
 arm",No
,,,,,HCI,"Gesture
Recognition",No,10,discrete,dynamic,"fingers
 arm",No
,,,,,HCI,"Gesture
Recognition",No,10,discrete,dynamic,"fingers
 arm",No
,,,,,HCI,"Gesture
Recognition",No,15,"discrete
continuous","static
dynamic","fingers
 arm",No
Park2019,2019,Infrared Camera,-,-,HRI,"Feature
Extraction",No,-,continuous,dynamic,"hand
fingers",No
,,,,,HCI,"Gesture
Recognition",No,1,"discrete
continuous","static
dynamic","fingers
hand",Yes
Pomboza-Junez2019,2019,EMG,-,-,HCI,"Gesture 
Recognition",No,4,discrete,static,"hand
fingers",No
Avola2019,2019,"Stereo Infrared
 Cameras",-,-,-,"Gesture
Classification",No,30,discrete,"static
dynamic","hand
fingers",No
Feng2019,2019,"Stereo Infrared
 Cameras",-,-,-,"Gesture
Classification",No,10,discrete,static,fingers,No
Zhang2019,2019,EMG,-,-,-,"Gesture
Recognition",No,5,discrete,dynamic,"fingers
hand",No
